#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
XM_006559574.3	LOC413663	XP_006559637.1	Canon
XM_006559613.2	LOC414009	XP_006559676.1	NonCanon
XM_006559647.1	LOC102655603	XP_006559710.1	NonCanon
XM_006559656.3	LOC412200	XP_006559719.1	NonCanon
XM_006559699.3	LOC552629	XP_006559762.2	NonCanon
XM_006559759.3	LOC413987	XP_006559822.1	NonCanon
XM_006559767.3	LOC551948	XP_006559830.1	NonCanon
XM_006559776.3	LOC724742	XP_006559839.1	NonCanon
XM_006559781.3	LOC724891	XP_006559844.1	NonCanon
XM_006559794.3	LOC551982	XP_006559857.1	NonCanon
XM_006559796.3	LOC413383	XP_006559859.1	NonCanon
XM_006559811.3	LOC551437	XP_006559874.1	Canon
XM_006559837.3	LOC413065	XP_006559900.1	NonCanon
XM_006559839.3	LOC551574	XP_006559902.2	NonCanon
XM_006559864.3	LOC412578	XP_006559927.1	NonCanon
XM_006559899.1	LOC724745	XP_006559962.1	NonCanon
XM_006559916.3	LOC411347	XP_006559979.1	NonCanon
XM_006559944.3	LOC100577797	XP_006560007.3	NonCanon
XM_006559950.3	LOC551194	XP_006560013.1	NonCanon
XM_006559956.3	LOC550659	XP_006560019.1	NonCanon
XM_006559984.3	LOC408303	XP_006560047.1	NonCanon
XM_006559986.3	LOC410241	XP_006560049.1	NonCanon
XM_006560003.3	LOC551931	XP_006560066.1	NonCanon
XM_006560028.3	LOC725512	XP_006560091.1	Canon
XM_006560041.3	LOC102654621	XP_006560104.2	NonCanon
XM_006560099.3	LOC551847	XP_006560162.1	NonCanon
XM_006560197.3	LOC410484	XP_006560260.1	NonCanon
XM_006560307.2	LOC408434	XP_006560370.1	NonCanon
XM_006560311.3	LOC552377	XP_006560374.1	NonCanon
XM_006560326.3	LOC410456	XP_006560389.1	NonCanon
XM_006560397.3	LOC410039	XP_006560460.1	NonCanon
XM_006560410.3	LOC408421	XP_006560473.1	NonCanon
XM_006560439.3	LOC413194	XP_006560502.2	Canon
XM_006560471.3	LOC100577174	XP_006560534.1	NonCanon
XM_006560476.3	LOC412851	XP_006560539.1	NonCanon
XM_006560549.3	LOC411048	XP_006560612.2	NonCanon
XM_006560586.3	LOC408817	XP_006560649.2	NonCanon
XM_006560599.3	LOC409316	XP_006560662.2	NonCanon
XM_006560605.3	LOC102655838	XP_006560668.1	NonCanon
XM_006560606.3	LOC102655898	XP_006560669.1	NonCanon
XM_006560607.3	LOC102655942	XP_006560670.1	NonCanon
XM_006560644.3	LOC410630	XP_006560707.1	NonCanon
XM_006560673.3	LOC552745	XP_006560736.1	NonCanon
XM_006560675.3	LOC411730	XP_006560738.1	NonCanon
XM_006560695.3	LOC413032	XP_006560758.1	NonCanon
XM_006560719.2	LOC551009	XP_006560782.1	NonCanon
XM_006560747.3	LOC409023	XP_006560810.1	NonCanon
XM_006560840.3	LOC724704	XP_006560903.1	NonCanon
XM_006560870.3	LOC552278	XP_006560933.1	NonCanon
XM_006560922.3	LOC408748	XP_006560985.1	NonCanon
XM_006560985.3	LOC552641	XP_006561048.2	NonCanon
XM_006561008.3	LOC410627	XP_006561071.2	NonCanon
XM_006561022.3	LOC552018	XP_006561085.2	NonCanon
XM_006561032.3	LOC409270	XP_006561095.1	NonCanon
XM_006561036.3	LOC551769	XP_006561099.1	NonCanon
XM_006561057.3	LOC409206	XP_006561120.1	NonCanon
XM_006561153.3	LOC725530	XP_006561216.2	NonCanon
XM_006561281.3	LOC412933	XP_006561344.1	NonCanon
XM_006561322.3	LOC552009	XP_006561385.1	NonCanon
XM_006561381.3	LOC412563	XP_006561444.3	NonCanon
XM_006561404.3	LOC413119	XP_006561467.1	Canon
XM_006561423.3	LOC409633	XP_006561486.1	NonCanon
XM_006561479.3	LOC411261	XP_006561542.2	NonCanon
XM_006561607.3	LOC409515	XP_006561670.1	NonCanon
XM_006561615.3	LOC102653793	XP_006561678.2	NonCanon
XM_006561617.3	LOC411923	XP_006561680.1	NonCanon
XM_006561670.3	LOC100577252	XP_006561733.1	NonCanon
XM_006561684.3	LOC552341	XP_006561747.1	NonCanon
XM_006561686.3	LOC412276	XP_006561749.1	NonCanon
XM_006561689.3	LOC725026	XP_006561752.1	NonCanon
XM_006561732.3	LOC412025	XP_006561795.1	NonCanon
XM_006561739.2	LOC726030	XP_006561802.1	NonCanon
XM_006561747.3	LOC726167	XP_006561810.1	Canon
XM_006561773.3	LOC411335	XP_006561836.1	NonCanon
XM_006561800.3	LOC726818	XP_006561863.1	Canon
XM_006561834.3	LOC409004	XP_006561897.1	NonCanon
XM_006561873.3	LOC551133	XP_006561936.1	NonCanon
XM_006561927.3	LOC551892	XP_006561990.1	NonCanon
XM_006561937.3	LOC552602	XP_006562000.1	NonCanon
XM_006561941.3	LOC413950	XP_006562004.1	NonCanon
XM_006561981.3	LOC725374	XP_006562044.3	Canon
XM_006562069.3	LOC100188940	XP_006562132.1	NonCanon
XM_006562096.3	LOC411892	XP_006562159.1	Canon
XM_006562100.3	LOC413705	XP_006562163.1	NonCanon
XM_006562148.3	LOC411070	XP_006562211.1	NonCanon
XM_006562192.3	LOC727582	XP_006562255.1	NonCanon
XM_006562214.3	LOC102654211	XP_006562277.2	NonCanon
XM_006562256.3	LOC100578238	XP_006562319.3	NonCanon
XM_006562318.3	LOC412623	XP_006562381.1	NonCanon
XM_006562321.3	LOC551212	XP_006562384.1	NonCanon
XM_006562357.3	LOC551980	XP_006562420.1	Canon
XM_006562360.3	LOC552246	XP_006562423.1	NonCanon
XM_006562405.3	LOC411796	XP_006562468.1	NonCanon
XM_006562520.3	LOC412282	XP_006562583.2	NonCanon
XM_006562639.3	LOC724793	XP_006562702.1	Canon
XM_006562647.3	LOC100576125	XP_006562710.2	NonCanon
XM_006562656.3	LOC408808	XP_006562719.1	Canon
XM_006562666.3	LOC551012	XP_006562729.1	Canon
XM_006562706.3	LOC408811	XP_006562769.1	NonCanon
XM_006562720.3	LOC412703	XP_006562783.1	Canon
XM_006562741.3	LOC411843	XP_006562804.2	NonCanon
XM_006562802.3	LOC726540	XP_006562865.1	NonCanon
XM_006562808.3	LOC412598	XP_006562871.1	NonCanon
XM_006562826.3	LOC100577401	XP_006562889.1	NonCanon
XM_006562830.3	LOC550998	XP_006562893.1	NonCanon
XM_006562860.3	LOC725612	XP_006562923.1	NonCanon
XM_006562898.3	LOC413544	XP_006562961.2	NonCanon
XM_006562932.3	LOC408461	XP_006562995.1	NonCanon
XM_006562945.3	LOC410512	XP_006563008.1	NonCanon
XM_006562961.3	LOC408458	XP_006563024.1	NonCanon
XM_006563022.3	LOC100577050	XP_006563085.2	NonCanon
XM_006563051.3	LOC494509	XP_006563114.2	Canon
XM_006563060.3	LOC551882	XP_006563123.1	NonCanon
XM_006563086.3	LOC725055	XP_006563149.2	NonCanon
XM_006563088.3	LOC412167	XP_006563151.1	NonCanon
XM_006563091.3	LOC412056	XP_006563154.1	NonCanon
XM_006563153.3	LOC724423	XP_006563216.3	NonCanon
XM_006563163.3	LOC413409	XP_006563226.1	Canon
XM_006563222.3	LOC409520	XP_006563285.1	NonCanon
XM_006563238.3	LOC725040	XP_006563301.1	NonCanon
XM_006563252.3	LOC412287	XP_006563315.1	NonCanon
XM_006563261.3	LOC725345	XP_006563324.2	NonCanon
XM_006563283.2	LOC411794	XP_006563346.1	NonCanon
XM_006563302.3	LOC412247	XP_006563365.1	NonCanon
XM_006563305.3	LOC410118	XP_006563368.1	NonCanon
XM_006563309.3	LOC412422	XP_006563372.2	NonCanon
XM_006563361.3	LOC408533	XP_006563424.2	Canon
XM_006563366.3	LOC410618	XP_006563429.1	NonCanon
XM_006563374.3	LOC411724	XP_006563437.1	NonCanon
XM_006563425.3	LOC102656905	XP_006563488.2	Canon
XM_006563447.2	LOC412024	XP_006563510.1	NonCanon
XM_006563471.3	LOC552839	XP_006563534.2	NonCanon
XM_006563504.3	LOC552766	XP_006563567.1	Canon
XM_006563507.3	LOC552807	XP_006563570.1	NonCanon
XM_006563550.3	LOC410585	XP_006563613.1	NonCanon
XM_006563573.3	LOC726476	XP_006563636.2	NonCanon
XM_006563631.3	LOC102654084	XP_006563694.1	NonCanon
XM_006563634.3	LOC100576224	XP_006563697.2	NonCanon
XM_006563682.3	LOC409377	XP_006563745.1	NonCanon
XM_006563685.3	LOC410575	XP_006563748.1	Canon
XM_006563724.1	LOC102656263	XP_006563787.1	NonCanon
XM_006563751.3	LOC413006	XP_006563814.1	NonCanon
XM_006563764.3	LOC413612	XP_006563827.1	NonCanon
XM_006563770.3	LOC551806	XP_006563833.1	NonCanon
XM_006563793.3	LOC551338	XP_006563856.1	NonCanon
XM_006563847.3	LOC411731	XP_006563910.1	NonCanon
XM_006563864.3	LOC413106	XP_006563927.2	NonCanon
XM_006563878.3	LOC725792	XP_006563941.2	NonCanon
XM_006563907.3	LOC408742	XP_006563970.2	NonCanon
XM_006563924.2	LOC409643	XP_006563987.1	NonCanon
XM_006563928.3	LOC552590	XP_006563991.2	NonCanon
XM_006563941.3	LOC552093	XP_006564004.1	NonCanon
XM_006563965.3	LOC413889	XP_006564028.1	NonCanon
XM_006563982.3	LOC408741	XP_006564045.1	NonCanon
XM_006564043.3	Pgrp-s2	XP_006564106.1	NonCanon
XM_006564051.3	LOC551116	XP_006564114.1	NonCanon
XM_006564066.3	LOC100577552	XP_006564129.2	NonCanon
XM_006564070.1	LOC413971	XP_006564133.1	NonCanon
XM_006564098.3	LOC102655111	XP_006564161.1	NonCanon
XM_006564120.3	LOC409292	XP_006564183.2	NonCanon
XM_006564159.3	LOC411083	XP_006564222.1	NonCanon
XM_006564167.3	LOC724432	XP_006564230.1	NonCanon
XM_006564170.2	LOC102655904	XP_006564233.1	NonCanon
XM_006564194.3	LOC551776	XP_006564257.2	NonCanon
XM_006564210.3	LOC102654987	XP_006564273.1	NonCanon
XM_006564228.3	LOC413023	XP_006564291.3	NonCanon
XM_006564230.3	LOC412780	XP_006564293.1	NonCanon
XM_006564272.3	LOC725366	XP_006564335.1	NonCanon
XM_006564368.3	LOC413343	XP_006564431.1	NonCanon
XM_006564396.3	LOC551324	XP_006564459.1	NonCanon
XM_006564414.3	LOC411566	XP_006564477.1	Canon
XM_006564486.3	LOC100576099	XP_006564549.1	NonCanon
XM_006564547.3	LOC411270	XP_006564610.2	Canon
XM_006564563.2	LOC552003	XP_006564626.1	NonCanon
XM_006564609.3	LOC725571	XP_006564672.2	Canon
XM_006564682.3	LOC552049	XP_006564745.1	NonCanon
XM_006564696.1	LOC102653839	XP_006564759.1	NonCanon
XM_006564722.3	LOC725325	XP_006564785.1	NonCanon
XM_006564745.3	LOC726255	XP_006564808.1	NonCanon
XM_006564746.2	LOC413542	XP_006564809.1	NonCanon
XM_006564771.3	LOC551578	XP_006564834.1	NonCanon
XM_006564813.3	LOC551561	XP_006564876.1	NonCanon
XM_006564851.3	LOC410542	XP_006564914.1	NonCanon
XM_006564852.2	LOC552043	XP_006564915.1	NonCanon
XM_006564864.3	LOC410538	XP_006564927.1	NonCanon
XM_006564914.3	LOC552592	XP_006564977.1	NonCanon
XM_006564934.3	LOC551439	XP_006564997.2	NonCanon
XM_006564951.3	LOC100577002	XP_006565014.2	NonCanon
XM_006564963.3	LOC100577136	XP_006565026.1	NonCanon
XM_006565041.3	LOC408438	XP_006565104.1	Canon
XM_006565066.3	LOC410470	XP_006565129.1	NonCanon
XM_006565147.3	FAR1	XP_006565210.1	NonCanon
XM_006565170.3	LOC551753	XP_006565233.2	NonCanon
XM_006565173.3	LOC411699	XP_006565236.1	NonCanon
XM_006565200.3	LOC413297	XP_006565263.1	NonCanon
XM_006565204.3	LOC552725	XP_006565267.1	NonCanon
XM_006565211.3	LOC414035	XP_006565274.1	NonCanon
XM_006565218.3	LOC410371	XP_006565281.1	NonCanon
XM_006565255.3	LOC411510	XP_006565318.1	NonCanon
XM_006565258.3	LOC100578209	XP_006565321.1	NonCanon
XM_006565283.3	LOC409749	XP_006565346.1	NonCanon
XM_006565301.3	LOC100577481	XP_006565364.1	NonCanon
XM_006565341.3	LOC411164	XP_006565404.1	NonCanon
XM_006565354.3	LOC410031	XP_006565417.2	Canon
XM_006565386.3	LOC408886	XP_006565449.2	NonCanon
XM_006565389.1	LOC413074	XP_006565452.1	NonCanon
XM_006565454.3	LOC408925	XP_006565517.1	NonCanon
XM_006565463.3	LOC551898	XP_006565526.1	NonCanon
XM_006565506.3	LOC408924	XP_006565569.1	Canon
XM_006565508.3	LOC411214	XP_006565571.1	NonCanon
XM_006565541.3	LOC100577493	XP_006565604.1	NonCanon
XM_006565570.3	LOC724700	XP_006565633.1	NonCanon
XM_006565697.3	LOC727238	XP_006565760.1	NonCanon
XM_006565844.3	LOC100578356	XP_006565907.2	Canon
XM_006565874.3	LOC726583	XP_006565937.2	NonCanon
XM_006565975.2	LOC411972	XP_006566038.1	NonCanon
XM_006566002.3	LOC552353	XP_006566065.1	NonCanon
XM_006566108.3	LOC102656107	XP_006566171.1	Canon
XM_006566172.3	LOC100577138	XP_006566235.2	NonCanon
XM_006566202.3	LOC726414	XP_006566265.2	NonCanon
XM_006566210.3	LOC409649	XP_006566273.1	NonCanon
XM_006566222.3	LOC727652	XP_006566285.2	NonCanon
XM_006566261.3	LOC100577879	XP_006566324.1	NonCanon
XM_006566310.3	LOC410317	XP_006566373.1	NonCanon
XM_006566344.3	LOC412277	XP_006566407.2	NonCanon
XM_006566357.3	LOC726800	XP_006566420.1	NonCanon
XM_006566365.3	LOC408355	XP_006566428.1	NonCanon
XM_006566375.3	LOC408358	XP_006566438.1	Canon
XM_006566460.3	LOC551683	XP_006566523.1	NonCanon
XM_006566473.3	LOC412348	XP_006566536.1	NonCanon
XM_006566484.3	LOC409260	XP_006566547.1	NonCanon
XM_006566537.3	LOC100577687	XP_006566600.1	NonCanon
XM_006566580.3	LOC726781	XP_006566643.1	Canon
XM_006566581.3	LOC411457	XP_006566644.1	NonCanon
XM_006566585.3	LOC102655688	XP_006566648.1	NonCanon
XM_006566586.3	LOC409068	XP_006566649.2	NonCanon
XM_006566605.3	LOC100576186	XP_006566668.2	NonCanon
XM_006566642.3	LOC409393	XP_006566705.2	Canon
XM_006566663.3	LOC412046	XP_006566726.1	NonCanon
XM_006566676.3	LOC551467	XP_006566739.1	Canon
XM_006566772.3	LOC409795	XP_006566835.1	NonCanon
XM_006566777.2	LOC724256	XP_006566840.1	NonCanon
XM_006566795.3	LOC551712	XP_006566858.1	NonCanon
XM_006566838.3	LOC551572	XP_006566901.1	NonCanon
XM_006566848.3	LOC410383	XP_006566911.1	NonCanon
XM_006566860.3	LOC410379	XP_006566923.2	NonCanon
XM_006566867.3	LOC408395	XP_006566930.1	NonCanon
XM_006566962.3	LOC408388	XP_006567025.1	Canon
XM_006567127.3	LOC409662	XP_006567190.1	NonCanon
XM_006567145.3	LOC552621	XP_006567208.1	NonCanon
XM_006567146.2	LOC409559	XP_006567209.1	NonCanon
XM_006567147.3	LOC409488	XP_006567210.2	NonCanon
XM_006567158.3	LOC100577548	XP_006567221.1	Canon
XM_006567170.2	LOC408785	XP_006567233.1	NonCanon
XM_006567200.3	LOC408787	XP_006567263.1	NonCanon
XM_006567212.3	LOC411006	XP_006567275.1	NonCanon
XM_006567374.3	LOC408979	XP_006567437.1	NonCanon
XM_006567377.3	LOC408983	XP_006567440.1	NonCanon
XM_006567426.3	LOC411490	XP_006567489.1	NonCanon
XM_006567444.3	LOC552643	XP_006567507.1	NonCanon
XM_006567463.3	LOC411306	XP_006567526.1	NonCanon
XM_006567634.3	LOC724926	XP_006567697.2	NonCanon
XM_006567652.1	LOC408851	XP_006567715.1	Canon
XM_006567839.3	LOC411524	XP_006567902.2	NonCanon
XM_006567862.3	LOC409155	XP_006567925.2	NonCanon
XM_006567878.3	LOC100576826	XP_006567941.1	NonCanon
XM_006567904.3	LOC412378	XP_006567967.1	NonCanon
XM_006567909.3	LOC725628	XP_006567972.1	NonCanon
XM_006567943.3	LOC410732	XP_006568006.1	Canon
XM_006567958.2	LOC412177	XP_006568021.1	NonCanon
XM_006567965.2	LOC551478	XP_006568028.1	NonCanon
XM_006568019.3	LOC412612	XP_006568082.2	NonCanon
XM_006568030.3	LOC408972	XP_006568093.2	NonCanon
XM_006568047.3	LOC409736	XP_006568110.1	NonCanon
XM_006568066.3	LOC413047	XP_006568129.2	NonCanon
XM_006568071.3	LOC726240	XP_006568134.1	NonCanon
XM_006568105.3	LOC409924	XP_006568168.1	NonCanon
XM_006568109.3	LOC551581	XP_006568172.2	NonCanon
XM_006568140.3	LOC412410	XP_006568203.1	NonCanon
XM_006568152.3	LOC551395	XP_006568215.3	NonCanon
XM_006568166.3	LOC410853	XP_006568229.2	NonCanon
XM_006568240.3	LOC551749	XP_006568303.1	NonCanon
XM_006568334.3	LOC550970	XP_006568397.1	NonCanon
XM_006568458.3	LOC102655259	XP_006568521.2	NonCanon
XM_006568502.2	LOC412069	XP_006568565.1	NonCanon
XM_006568517.2	LOC409529	XP_006568580.1	Canon
XM_006568524.3	LOC411288	XP_006568587.1	NonCanon
XM_006568551.3	LOC408597	XP_006568614.1	NonCanon
XM_006568552.3	LOC725576	XP_006568615.2	NonCanon
XM_006568560.2	LOC102654014	XP_006568623.1	NonCanon
XM_006568568.3	LOC413713	XP_006568631.3	NonCanon
XM_006568602.2	LOC409103	XP_006568665.1	NonCanon
XM_006568625.3	LOC408592	XP_006568688.1	NonCanon
XM_006568640.3	LOC410728	XP_006568703.2	NonCanon
XM_006568697.3	LOC410806	XP_006568760.1	NonCanon
XM_006568750.3	LOC408649	XP_006568813.2	NonCanon
XM_006568758.3	LOC413208	XP_006568821.1	NonCanon
XM_006568776.3	LOC410812	XP_006568839.1	Canon
XM_006568810.1	LOC724341	XP_006568873.1	NonCanon
XM_006568819.3	LOC552562	XP_006568882.1	NonCanon
XM_006568834.3	LOC726280	XP_006568897.2	NonCanon
XM_006568835.3	LOC726332	XP_006568898.2	NonCanon
XM_006568935.3	LOC410821	XP_006568998.1	NonCanon
XM_006568971.3	LOC411763	XP_006569034.2	NonCanon
XM_006569140.3	LOC408271	XP_006569203.1	NonCanon
XM_006569167.3	LOC410183	XP_006569230.2	Canon
XM_006569173.3	LOC725877	XP_006569236.1	NonCanon
XM_006569218.3	LOC552149	XP_006569281.1	NonCanon
XM_006569219.3	LOC410915	XP_006569282.1	NonCanon
XM_006569235.3	LOC412956	XP_006569298.1	NonCanon
XM_006569310.2	LOC411633	XP_006569373.1	NonCanon
XM_006569334.3	LOC552213	XP_006569397.1	NonCanon
XM_006569399.3	LOC411188	XP_006569462.1	NonCanon
XM_006569403.3	LOC408900	XP_006569466.2	NonCanon
XM_006569447.3	LOC408911	XP_006569510.1	NonCanon
XM_006569464.3	LOC412816	XP_006569527.1	Canon
XM_006569491.3	LOC725744	XP_006569554.2	NonCanon
XM_006569507.3	LOC726102	XP_006569570.1	NonCanon
XM_006569538.2	LOC727396	XP_006569601.1	Canon
XM_006569633.3	LOC725848	XP_006569696.1	NonCanon
XM_006569707.3	LOC102656792	XP_006569770.1	NonCanon
XM_006569720.3	LOC409511	XP_006569783.2	NonCanon
XM_006569730.3	LOC409533	XP_006569793.2	NonCanon
XM_006569825.3	LOC408955	XP_006569888.1	NonCanon
XM_006569844.3	LOC410910	XP_006569907.1	NonCanon
XM_006569901.3	LOC725552	XP_006569964.1	NonCanon
XM_006569921.3	LOC412303	XP_006569984.1	NonCanon
XM_006569927.3	LOC724654	XP_006569990.1	NonCanon
XM_006569931.3	LOC724218	XP_006569994.1	NonCanon
XM_006569932.3	LOC551314	XP_006569995.1	Canon
XM_006569933.3	LOC724170	XP_006569996.2	NonCanon
XM_006569984.3	LOC551398	XP_006570047.2	NonCanon
XM_006570002.3	LOC409860	XP_006570065.1	NonCanon
XM_006570004.3	LOC726779	XP_006570067.1	NonCanon
XM_006570190.3	LOC411545	XP_006570253.1	NonCanon
XM_006570233.3	LOC102656287	XP_006570296.1	NonCanon
XM_006570279.3	LOC409265	XP_006570342.1	NonCanon
XM_006570291.3	LOC102656587	XP_006570354.1	NonCanon
XM_006570304.3	LOC552804	XP_006570367.1	NonCanon
XM_006570334.3	LOC410270	XP_006570397.2	NonCanon
XM_006570349.3	LOC409373	XP_006570412.2	NonCanon
XM_006570369.3	LOC413087	XP_006570432.1	NonCanon
XM_006570370.3	LOC552254	XP_006570433.2	NonCanon
XM_006570414.3	LOC413583	XP_006570477.1	NonCanon
XM_006570469.3	LOC551500	XP_006570532.1	Canon
XM_006570498.3	LOC411148	XP_006570561.1	NonCanon
XM_006570547.3	LOC409708	XP_006570610.1	Canon
XM_006570642.3	LOC411910	XP_006570705.1	NonCanon
XM_006570683.3	LOC550689	XP_006570746.1	NonCanon
XM_006570726.3	LOC409909	XP_006570789.1	NonCanon
XM_006570730.2	LOC102655679	XP_006570793.1	NonCanon
XM_006570785.3	LOC412117	XP_006570848.2	NonCanon
XM_006570787.3	LOC100578255	XP_006570850.3	NonCanon
XM_006570788.3	LOC411982	XP_006570851.1	NonCanon
XM_006570797.3	LOC551699	XP_006570860.1	NonCanon
XM_006570798.3	LOC100577833	XP_006570861.2	NonCanon
XM_006570813.3	LOC102655896	XP_006570876.1	NonCanon
XM_006570837.3	LOC100577019	XP_006570900.3	NonCanon
XM_006570899.3	LOC552455	XP_006570962.1	NonCanon
XM_006570902.3	LOC552419	XP_006570965.1	Canon
XM_006570906.3	LOC726222	XP_006570969.1	NonCanon
XM_006570908.3	LOC410055	XP_006570971.2	NonCanon
XM_006570913.3	LOC724930	XP_006570976.2	Canon
XM_006570922.3	LOC552496	XP_006570985.1	NonCanon
XM_006570953.2	LOC725881	XP_006571016.1	NonCanon
XM_006570986.3	LOC726163	XP_006571049.1	NonCanon
XM_006570988.3	LOC725801	XP_006571051.2	NonCanon
XM_006571030.3	LOC409704	XP_006571093.2	NonCanon
XM_006571112.3	LOC725348	XP_006571175.2	NonCanon
