Gene	3hit	2hit
5-HT1	Pass	Pass
5-ht7	Pass	Pass
Amel_8916	Pass	Pass
Antp	Pass	Pass
apd-3	Pass	Fail
BBIP1	Pass	Pass
Blop	Pass	Pass
Cac	Pass	Pass
Calpb	Pass	Pass
Cdk5	Pass	Pass
Cpap3-c	Pass	Pass
CPR19	Pass	Pass
Dcr-1	Pass	Pass
Dop1	Pass	Pass
DopR2	Pass	Pass
E74	Pass	Pass
Eif4g	Pass	Pass
Ets97D-like	Pass	Pass
Foxp	Pass	Pass
Gat-1B	Pass	Pass
Glob1	Pass	Pass
KAT2A	Pass	Pass
LCCH3	Pass	Pass
LOC100576162	Pass	Pass
LOC100576321	Pass	Pass
LOC100576346	Pass	Pass
LOC100576359	Pass	Pass
LOC100576361	Pass	Pass
LOC100576374	Pass	Pass
LOC100576384	Pass	Pass
LOC100576472	Pass	Pass
LOC100576497	Pass	Pass
LOC100576543	Pass	Pass
LOC100576608	Pass	Pass
LOC100576615	Pass	Pass
LOC100576666	Pass	Pass
LOC100576671	Pass	Pass
LOC100576703	Pass	Pass
LOC100576805	Pass	Pass
LOC100576866	Pass	Pass
LOC100576912	Pass	Pass
LOC100576953	Pass	Pass
LOC100576965	Pass	Pass
LOC100576974	Pass	Pass
LOC100577030	Pass	Pass
LOC100577069	Pass	Pass
LOC100577092	Pass	Pass
LOC100577098	Pass	Pass
LOC100577120	Pass	Pass
LOC100577136	Pass	Pass
LOC100577140	Pass	Pass
LOC100577149	Pass	Pass
LOC100577268	Pass	Pass
LOC100577296	Pass	Pass
LOC100577376	Pass	Pass
LOC100577386	Pass	Pass
LOC100577527	Pass	Pass
LOC100577561	Pass	Pass
LOC100577600	Pass	Pass
LOC100577606	Pass	Pass
LOC100577638	Pass	Pass
LOC100577656	Pass	Pass
LOC100577697	Pass	Pass
LOC100577856	Pass	Pass
LOC100577901	Pass	Pass
LOC100577905	Pass	Pass
LOC100577936	Pass	Pass
LOC100577943	Pass	Pass
LOC100577955	Pass	Pass
LOC100577980	Pass	Pass
LOC100577995	Pass	Pass
LOC100578011	Pass	Pass
LOC100578105	Pass	Pass
LOC100578126	Pass	Pass
LOC100578144	Pass	Pass
LOC100578201	Pass	Pass
LOC100578226	Pass	Pass
LOC100578321	Pass	Pass
LOC100578332	Pass	Pass
LOC100578349	Pass	Pass
LOC100578439	Pass	Pass
LOC100578515	Pass	Pass
LOC100578580	Pass	Pass
LOC100578600	Pass	Pass
LOC100578602	Pass	Pass
LOC100578721	Pass	Pass
LOC100578725	Pass	Pass
LOC100578801	Pass	Pass
LOC100578860	Pass	Pass
LOC100578893	Pass	Pass
LOC100578920	Pass	Pass
LOC100578939	Pass	Pass
LOC100578984	Pass	Pass
LOC100579026	Pass	Pass
LOC102653940	Pass	Pass
LOC102654029	Pass	Pass
LOC102654047	Pass	Pass
LOC102655259	Pass	Pass
LOC102655778	Pass	Pass
LOC102655824	Pass	Pass
LOC102655922	Pass	Pass
LOC102656444	Pass	Pass
LOC102656473	Pass	Pass
LOC102656490	Pass	Pass
LOC102656594	Pass	Pass
LOC102656656	Pass	Pass
LOC107963960	Pass	Pass
LOC107963983	Pass	Pass
LOC107964839	Pass	Pass
LOC107964884	Pass	Pass
LOC113218521	Pass	Pass
LOC113218569	Pass	Pass
LOC113218647	Pass	Pass
LOC113218781	Pass	Pass
LOC113218809	Pass	Pass
LOC113218959	Pass	Pass
LOC408298	Pass	Pass
LOC408302	Pass	Pass
LOC408304	Pass	Pass
LOC408312	Pass	Pass
LOC408315	Pass	Pass
LOC408317	Pass	Pass
LOC408320	Pass	Pass
LOC408335	Pass	Pass
LOC408337	Pass	Pass
LOC408343	Pass	Pass
LOC408354	Pass	Pass
LOC408372	Pass	Pass
LOC408373	Pass	Pass
LOC408382	Pass	Pass
LOC408443	Pass	Pass
LOC408457	Pass	Pass
LOC408511	Pass	Pass
LOC408520	Pass	Pass
LOC408528	Pass	Pass
LOC408543	Pass	Pass
LOC408546	Pass	Pass
LOC408551	Pass	Pass
LOC408552	Pass	Pass
LOC408557	Pass	Pass
LOC408559	Pass	Pass
LOC408561	Pass	Pass
LOC408568	Pass	Pass
LOC408569	Pass	Pass
LOC408579	Pass	Pass
LOC408587	Pass	Pass
LOC408589	Pass	Pass
LOC408614	Pass	Pass
LOC408625	Pass	Pass
LOC408632	Pass	Pass
LOC408660	Pass	Pass
LOC408661	Pass	Pass
LOC408674	Pass	Pass
LOC408687	Pass	Pass
LOC408697	Pass	Pass
LOC408714	Pass	Pass
LOC408819	Pass	Pass
LOC408824	Pass	Pass
LOC408826	Pass	Pass
LOC408827	Pass	Pass
LOC408835	Pass	Pass
LOC408836	Pass	Pass
LOC408842	Pass	Pass
LOC408860	Pass	Pass
LOC408863	Pass	Pass
LOC408866	Pass	Pass
LOC408869	Pass	Fail
LOC408874	Pass	Pass
LOC408887	Pass	Pass
LOC408901	Pass	Pass
LOC408915	Pass	Pass
LOC408923	Pass	Pass
LOC408935	Pass	Pass
LOC408942	Pass	Pass
LOC408958	Pass	Pass
LOC408959	Pass	Pass
LOC409001	Pass	Pass
LOC409007	Pass	Pass
LOC409025	Pass	Pass
LOC409034	Pass	Pass
LOC409041	Pass	Pass
LOC409070	Pass	Pass
LOC409078	Pass	Pass
LOC409091	Pass	Pass
LOC409106	Pass	Pass
LOC409108	Pass	Pass
LOC409109	Pass	Pass
LOC409122	Pass	Pass
LOC409153	Pass	Pass
LOC409157	Pass	Pass
LOC409159	Pass	Pass
LOC409164	Pass	Pass
LOC409170	Pass	Pass
LOC409179	Pass	Pass
LOC409180	Pass	Pass
LOC409186	Pass	Pass
LOC409201	Fail	Pass
LOC409225	Pass	Pass
LOC409247	Pass	Pass
LOC409273	Pass	Pass
LOC409279	Pass	Fail
LOC409283	Pass	Pass
LOC409286	Pass	Pass
LOC409293	Pass	Pass
LOC409299	Pass	Pass
LOC409307	Pass	Pass
LOC409336	Pass	Pass
LOC409357	Fail	Pass
LOC409358	Pass	Pass
LOC409377	Pass	Pass
LOC409379	Pass	Pass
LOC409390	Pass	Pass
LOC409441	Pass	Pass
LOC409452	Pass	Pass
LOC409462	Pass	Pass
LOC409467	Pass	Pass
LOC409486	Pass	Pass
LOC409488	Pass	Pass
LOC409493	Pass	Pass
LOC409500	Pass	Pass
LOC409502	Pass	Pass
LOC409513	Pass	Pass
LOC409525	Pass	Pass
LOC409529	Pass	Pass
LOC409565	Pass	Pass
LOC409607	Pass	Pass
LOC409609	Pass	Pass
LOC409628	Pass	Pass
LOC409638	Pass	Pass
LOC409645	Pass	Pass
LOC409664	Pass	Pass
LOC409706	Pass	Pass
LOC409713	Pass	Pass
LOC409714	Pass	Pass
LOC409733	Pass	Pass
LOC409752	Pass	Pass
LOC409769	Pass	Pass
LOC409787	Pass	Pass
LOC409791	Pass	Fail
LOC409795	Pass	Pass
LOC409799	Pass	Pass
LOC409804	Pass	Pass
LOC409829	Pass	Pass
LOC409835	Pass	Pass
LOC409845	Pass	Pass
LOC409861	Pass	Pass
LOC409863	Pass	Pass
LOC409894	Pass	Pass
LOC409919	Pass	Pass
LOC409920	Pass	Pass
LOC409921	Pass	Pass
LOC409924	Pass	Pass
LOC409931	Pass	Pass
LOC409933	Pass	Pass
LOC409955	Pass	Pass
LOC409976	Pass	Pass
LOC409985	Pass	Pass
LOC409990	Pass	Pass
LOC410013	Pass	Pass
LOC410056	Pass	Pass
LOC410057	Pass	Pass
LOC410058	Pass	Pass
LOC410101	Pass	Pass
LOC410119	Pass	Pass
LOC410120	Pass	Pass
LOC410144	Pass	Pass
LOC410162	Pass	Pass
LOC410229	Pass	Pass
LOC410235	Pass	Pass
LOC410286	Pass	Pass
LOC410301	Pass	Pass
LOC410315	Pass	Pass
LOC410332	Pass	Pass
LOC410336	Pass	Pass
LOC410337	Pass	Pass
LOC410340	Pass	Pass
LOC410344	Pass	Pass
LOC410347	Pass	Pass
LOC410353	Pass	Pass
LOC410354	Pass	Pass
LOC410371	Pass	Pass
LOC410429	Pass	Pass
LOC410432	Pass	Pass
LOC410442	Pass	Pass
LOC410449	Pass	Pass
LOC410456	Pass	Pass
LOC410467	Pass	Pass
LOC410480	Pass	Pass
LOC410497	Pass	Pass
LOC410527	Pass	Pass
LOC410549	Pass	Pass
LOC410550	Pass	Pass
LOC410600	Pass	Pass
LOC410609	Pass	Pass
LOC410643	Pass	Pass
LOC410648	Pass	Pass
LOC410649	Pass	Pass
LOC410706	Pass	Pass
LOC410717	Pass	Pass
LOC410723	Pass	Pass
LOC410730	Pass	Pass
LOC410732	Pass	Pass
LOC410777	Pass	Pass
LOC410784	Pass	Pass
LOC410812	Pass	Pass
LOC410821	Pass	Pass
LOC410838	Pass	Pass
LOC410855	Pass	Pass
LOC410860	Pass	Pass
LOC410864	Pass	Pass
LOC410872	Pass	Pass
LOC410876	Pass	Pass
LOC410894	Pass	Pass
LOC410905	Pass	Pass
LOC410920	Pass	Pass
LOC410922	Pass	Pass
LOC410952	Pass	Pass
LOC410953	Pass	Pass
LOC410986	Pass	Pass
LOC410989	Pass	Pass
LOC410997	Pass	Pass
LOC411003	Pass	Pass
LOC411009	Pass	Pass
LOC411011	Pass	Pass
LOC411044	Pass	Pass
LOC411048	Pass	Pass
LOC411053	Pass	Pass
LOC411054	Pass	Pass
LOC411076	Pass	Pass
LOC411083	Pass	Pass
LOC411104	Pass	Pass
LOC411105	Pass	Pass
LOC411121	Pass	Pass
LOC411144	Pass	Pass
LOC411145	Pass	Pass
LOC411154	Pass	Pass
LOC411176	Pass	Pass
LOC411195	Pass	Pass
LOC411206	Pass	Pass
LOC411213	Pass	Pass
LOC411214	Pass	Pass
LOC411227	Pass	Pass
LOC411245	Pass	Pass
LOC411345	Pass	Pass
LOC411347	Pass	Pass
LOC411348	Pass	Pass
LOC411371	Pass	Pass
LOC411458	Pass	Pass
LOC411459	Pass	Pass
LOC411474	Pass	Pass
LOC411476	Pass	Pass
LOC411477	Pass	Pass
LOC411494	Pass	Pass
LOC411539	Pass	Pass
LOC411546	Pass	Pass
LOC411586	Pass	Pass
LOC411618	Pass	Pass
LOC411638	Pass	Pass
LOC411639	Pass	Pass
LOC411640	Pass	Pass
LOC411665	Pass	Pass
LOC411670	Pass	Pass
LOC411685	Pass	Pass
LOC411697	Pass	Pass
LOC411746	Pass	Pass
LOC411772	Pass	Fail
LOC411781	Pass	Pass
LOC411805	Pass	Pass
LOC411808	Pass	Pass
LOC411813	Pass	Pass
LOC411858	Pass	Pass
LOC411864	Pass	Pass
LOC411881	Pass	Pass
LOC411942	Pass	Pass
LOC411947	Pass	Pass
LOC411955	Pass	Pass
LOC411970	Pass	Fail
LOC411998	Pass	Pass
LOC412007	Pass	Pass
LOC412020	Pass	Pass
LOC412025	Pass	Pass
LOC412053	Pass	Pass
LOC412069	Pass	Pass
LOC412108	Pass	Pass
LOC412125	Pass	Pass
LOC412129	Pass	Pass
LOC412150	Pass	Pass
LOC412167	Pass	Pass
LOC412249	Pass	Pass
LOC412263	Pass	Pass
LOC412287	Pass	Pass
LOC412319	Pass	Pass
LOC412348	Pass	Pass
LOC412355	Pass	Pass
LOC412401	Pass	Pass
LOC412470	Pass	Pass
LOC412487	Pass	Pass
LOC412511	Pass	Pass
LOC412552	Pass	Pass
LOC412591	Pass	Pass
LOC412642	Pass	Pass
LOC412661	Pass	Pass
LOC412694	Pass	Pass
LOC412714	Pass	Pass
LOC412799	Pass	Pass
LOC412842	Pass	Pass
LOC412850	Pass	Pass
LOC412855	Pass	Pass
LOC412858	Pass	Pass
LOC412859	Pass	Pass
LOC412897	Pass	Pass
LOC412929	Pass	Pass
LOC412956	Pass	Pass
LOC412976	Pass	Pass
LOC413001	Pass	Pass
LOC413005	Pass	Pass
LOC413046	Pass	Pass
LOC413089	Pass	Pass
LOC413110	Pass	Pass
LOC413113	Pass	Pass
LOC413119	Pass	Pass
LOC413170	Pass	Pass
LOC413183	Pass	Pass
LOC413197	Pass	Pass
LOC413208	Pass	Pass
LOC413246	Pass	Pass
LOC413266	Pass	Pass
LOC413270	Pass	Pass
LOC413314	Pass	Pass
LOC413318	Pass	Pass
LOC413357	Pass	Pass
LOC413383	Pass	Pass
LOC413410	Pass	Pass
LOC413411	Pass	Pass
LOC413427	Pass	Pass
LOC413440	Pass	Pass
LOC413441	Pass	Pass
LOC413464	Pass	Pass
LOC413490	Pass	Pass
LOC413501	Pass	Pass
LOC413510	Pass	Pass
LOC413551	Pass	Pass
LOC413575	Pass	Pass
LOC413576	Pass	Pass
LOC413577	Pass	Pass
LOC413607	Pass	Pass
LOC413653	Pass	Pass
LOC413666	Pass	Pass
LOC413668	Pass	Pass
LOC413676	Pass	Pass
LOC413711	Pass	Pass
LOC413732	Pass	Pass
LOC413735	Pass	Pass
LOC413796	Pass	Pass
LOC413827	Pass	Pass
LOC413873	Pass	Pass
LOC413919	Pass	Pass
LOC413931	Pass	Pass
LOC413936	Pass	Pass
LOC413942	Pass	Pass
LOC413977	Pass	Pass
LOC413998	Pass	Pass
LOC414004	Pass	Pass
LOC414022	Pass	Pass
LOC414032	Pass	Pass
LOC414035	Pass	Pass
LOC550663	Pass	Pass
LOC550685	Pass	Pass
LOC550695	Pass	Pass
LOC550794	Pass	Pass
LOC550801	Pass	Pass
LOC550828	Pass	Pass
LOC550865	Pass	Pass
LOC550955	Pass	Pass
LOC550992	Pass	Pass
LOC551005	Pass	Pass
LOC551012	Pass	Pass
LOC551033	Pass	Pass
LOC551036	Pass	Pass
LOC551042	Pass	Pass
LOC551046	Pass	Pass
LOC551055	Pass	Pass
LOC551080	Pass	Pass
LOC551122	Pass	Pass
LOC551123	Pass	Pass
LOC551137	Pass	Pass
LOC551150	Pass	Pass
LOC551163	Pass	Pass
LOC551165	Pass	Pass
LOC551167	Pass	Pass
LOC551168	Pass	Pass
LOC551213	Pass	Pass
LOC551227	Pass	Pass
LOC551231	Pass	Pass
LOC551269	Pass	Pass
LOC551272	Pass	Pass
LOC551283	Pass	Pass
LOC551284	Pass	Pass
LOC551337	Pass	Pass
LOC551383	Pass	Pass
LOC551396	Pass	Pass
LOC551403	Pass	Pass
LOC551414	Pass	Pass
LOC551433	Pass	Pass
LOC551461	Pass	Pass
LOC551494	Pass	Pass
LOC551500	Pass	Pass
LOC551502	Pass	Pass
LOC551510	Pass	Pass
LOC551517	Pass	Pass
LOC551545	Pass	Pass
LOC551554	Pass	Pass
LOC551580	Pass	Pass
LOC551596	Pass	Pass
LOC551603	Pass	Pass
LOC551605	Pass	Pass
LOC551608	Pass	Pass
LOC551673	Pass	Pass
LOC551680	Pass	Pass
LOC551682	Pass	Pass
LOC551683	Pass	Pass
LOC551690	Pass	Pass
LOC551694	Pass	Pass
LOC551724	Pass	Pass
LOC551754	Pass	Pass
LOC551772	Pass	Pass
LOC551775	Pass	Pass
LOC551787	Pass	Pass
LOC551856	Pass	Pass
LOC551871	Pass	Pass
LOC551892	Pass	Pass
LOC551898	Pass	Pass
LOC551920	Pass	Pass
LOC551936	Pass	Pass
LOC551957	Pass	Pass
LOC551976	Pass	Pass
LOC551997	Pass	Pass
LOC552006	Pass	Pass
LOC552008	Pass	Pass
LOC552009	Pass	Pass
LOC552020	Pass	Pass
LOC552026	Pass	Pass
LOC552058	Pass	Pass
LOC552081	Pass	Pass
LOC552103	Pass	Pass
LOC552114	Pass	Pass
LOC552117	Pass	Pass
LOC552138	Pass	Pass
LOC552139	Pass	Pass
LOC552151	Pass	Pass
LOC552153	Pass	Pass
LOC552166	Pass	Pass
LOC552178	Pass	Pass
LOC552180	Pass	Pass
LOC552194	Pass	Pass
LOC552198	Pass	Pass
LOC552205	Pass	Pass
LOC552241	Pass	Pass
LOC552278	Pass	Pass
LOC552280	Pass	Pass
LOC552282	Pass	Pass
LOC552284	Pass	Pass
LOC552297	Pass	Pass
LOC552312	Pass	Pass
LOC552315	Pass	Pass
LOC552316	Pass	Pass
LOC552318	Pass	Pass
LOC552354	Pass	Pass
LOC552374	Pass	Pass
LOC552377	Pass	Pass
LOC552414	Pass	Pass
LOC552429	Pass	Pass
LOC552455	Pass	Pass
LOC552473	Pass	Pass
LOC552479	Pass	Pass
LOC552499	Pass	Fail
LOC552502	Pass	Pass
LOC552505	Pass	Pass
LOC552539	Pass	Pass
LOC552545	Pass	Pass
LOC552556	Pass	Pass
LOC552566	Pass	Pass
LOC552636	Pass	Pass
LOC552641	Pass	Pass
LOC552644	Pass	Pass
LOC552647	Pass	Pass
LOC552651	Pass	Pass
LOC552664	Pass	Pass
LOC552708	Pass	Pass
LOC552715	Pass	Pass
LOC552721	Pass	Pass
LOC552771	Pass	Pass
LOC552780	Pass	Pass
LOC552812	Pass	Pass
LOC552841	Pass	Pass
LOC552844	Pass	Pass
LOC724128	Pass	Pass
LOC724138	Pass	Pass
LOC724178	Pass	Pass
LOC724187	Pass	Pass
LOC724196	Pass	Pass
LOC724220	Pass	Pass
LOC724225	Pass	Pass
LOC724244	Pass	Pass
LOC724288	Pass	Pass
LOC724292	Pass	Pass
LOC724295	Pass	Pass
LOC724321	Pass	Pass
LOC724335	Pass	Pass
LOC724344	Pass	Pass
LOC724355	Pass	Pass
LOC724356	Pass	Pass
LOC724412	Pass	Pass
LOC724423	Pass	Pass
LOC724429	Pass	Pass
LOC724442	Pass	Pass
LOC724450	Pass	Pass
LOC724487	Pass	Pass
LOC724502	Pass	Pass
LOC724507	Pass	Pass
LOC724517	Pass	Pass
LOC724537	Pass	Pass
LOC724563	Pass	Pass
LOC724568	Pass	Pass
LOC724569	Pass	Pass
LOC724592	Pass	Pass
LOC724596	Pass	Pass
LOC724599	Pass	Pass
LOC724618	Pass	Pass
LOC724640	Pass	Pass
LOC724676	Pass	Pass
LOC724681	Pass	Pass
LOC724704	Pass	Pass
LOC724708	Pass	Pass
LOC724734	Pass	Pass
LOC724750	Pass	Pass
LOC724763	Pass	Pass
LOC724769	Pass	Pass
LOC724778	Pass	Pass
LOC724787	Fail	Fail
LOC724789	Pass	Pass
LOC724796	Pass	Pass
LOC724823	Pass	Pass
LOC724835	Pass	Pass
LOC724852	Pass	Pass
LOC724853	Pass	Pass
LOC724867	Pass	Pass
LOC724875	Pass	Pass
LOC724885	Pass	Pass
LOC724892	Pass	Pass
LOC724942	Pass	Pass
LOC724973	Pass	Pass
LOC724983	Pass	Pass
LOC725036	Pass	Pass
LOC725038	Pass	Pass
LOC725044	Pass	Pass
LOC725046	Pass	Pass
LOC725091	Pass	Pass
LOC725118	Pass	Pass
LOC725130	Pass	Pass
LOC725134	Pass	Pass
LOC725150	Pass	Pass
LOC725196	Pass	Pass
LOC725204	Pass	Pass
LOC725255	Pass	Pass
LOC725260	Pass	Pass
LOC725274	Pass	Pass
LOC725294	Pass	Pass
LOC725325	Pass	Pass
LOC725327	Pass	Pass
LOC725408	Pass	Pass
LOC725435	Pass	Pass
LOC725467	Pass	Pass
LOC725505	Pass	Pass
LOC725556	Pass	Pass
LOC725566	Pass	Pass
LOC725571	Pass	Pass
LOC725613	Pass	Pass
LOC725641	Pass	Pass
LOC725654	Pass	Pass
LOC725698	Pass	Pass
LOC725701	Pass	Pass
LOC725749	Pass	Pass
LOC725756	Pass	Pass
LOC725758	Pass	Pass
LOC725789	Pass	Pass
LOC725813	Pass	Pass
LOC725828	Pass	Pass
LOC725860	Pass	Pass
LOC725885	Pass	Pass
LOC725983	Pass	Pass
LOC725987	Pass	Pass
LOC726017	Pass	Pass
LOC726029	Pass	Pass
LOC726060	Pass	Pass
LOC726065	Pass	Pass
LOC726068	Pass	Pass
LOC726072	Pass	Pass
LOC726092	Pass	Pass
LOC726099	Pass	Pass
LOC726130	Pass	Pass
LOC726148	Pass	Pass
LOC726153	Pass	Pass
LOC726167	Pass	Pass
LOC726187	Fail	Pass
LOC726190	Pass	Pass
LOC726199	Pass	Pass
LOC726235	Pass	Pass
LOC726237	Pass	Pass
LOC726243	Pass	Pass
LOC726264	Pass	Pass
LOC726284	Pass	Pass
LOC726298	Pass	Pass
LOC726312	Pass	Pass
LOC726341	Pass	Pass
LOC726350	Pass	Pass
LOC726367	Pass	Pass
LOC726368	Pass	Pass
LOC726385	Pass	Pass
LOC726394	Pass	Pass
LOC726407	Pass	Pass
LOC726412	Pass	Pass
LOC726417	Pass	Pass
LOC726432	Pass	Pass
LOC726476	Pass	Pass
LOC726478	Pass	Pass
LOC726483	Pass	Pass
LOC726496	Pass	Pass
LOC726529	Pass	Pass
LOC726569	Pass	Pass
LOC726579	Pass	Pass
LOC726583	Pass	Pass
LOC726598	Pass	Pass
LOC726600	Pass	Pass
LOC726601	Pass	Pass
LOC726647	Pass	Pass
LOC726650	Pass	Pass
LOC726667	Pass	Pass
LOC726668	Pass	Pass
LOC726695	Pass	Pass
LOC726699	Pass	Pass
LOC726733	Pass	Pass
LOC726756	Pass	Pass
LOC726790	Pass	Pass
LOC726806	Pass	Pass
LOC726816	Pass	Pass
LOC726824	Pass	Pass
LOC726826	Pass	Pass
LOC726853	Pass	Pass
LOC726883	Pass	Pass
LOC726925	Pass	Pass
LOC726947	Pass	Pass
LOC726962	Pass	Pass
LOC726990	Pass	Pass
LOC727035	Pass	Pass
LOC727078	Pass	Pass
LOC727210	Pass	Pass
LOC727335	Pass	Pass
LOC727392	Pass	Pass
LOC727578	Pass	Pass
LOC727652	Pass	Pass
mGlutR1	Pass	Pass
Msx	Pass	Pass
nAChRa7	Pass	Pass
Nedd9	Pass	Pass
otd2	Pass	Pass
Reck	Pass	Pass
Ripk5	Pass	Pass
Sergef	Pass	Pass
sGC-alpha1	Pass	Pass
SIFR	Pass	Pass
Syt20	Pass	Pass
Usp	Pass	Pass
uzip	Pass	Pass
